Prompt,Chosen,Chosen_Likes,Chosen_Time,Chosen_CustomMetric,Reject,Reject_Likes,Reject_Time,Reject_CustomMetric
【嘉然】⚡动感光波⚡,然然 抖音已经57万赞1.6万评论 上大分了💃💃💃💃💃💃💃happy,997.0,1621044697.0,19.907521116411658,@七海Nana7mi 好可爱啊，鲨鱼头也来整个😊,96.0,1621056367.0,-880.9757788835884
我是如何 因看vtb毁掉自己的人生？,本田未央：《我是如何因管人痴毁掉自己的歌》,10.0,1676945291.0,-408.08653888358833,我的人生已经被我自己毁了，看管不过是给依托答辩一样的生活撒调料包,7.0,1673981150.0,-440.72794888358834
主 播 哪 国 人,她郑重其事的说一句我是中国人也不会被冲。😆,12748.0,1624781924.0,11808.279791116413,这下真日本了[大哭],33.0,1659079121.0,-563.7482388835883
勾罕见，今天就是你的死期😡😡,BV1wL411u733经典广告位,4829.0,1636280989.0,4004.2704411164113,"美籍华人张培德曾任北京申奥大使，
高敏任纽约申奥大使
申雪，赵宏博曾任平昌奥运宣传大使
奥运会惯例而已。。",7.0,1654703940.0,-633.5000488835884
【翻唱】《猫中毒》完整版PV/嘉然,第一天的播放等于总播放，量力而行是指能看200遍努努力看300遍，收藏对然然发展很重要，要是耽误了发展你自己想想,1669.0,1617338834.0,654.8488911164116,"一日，阿梓、新月岚、nanami和她们的粉丝坐在飞机上，飞机出现了故障，必须有人跳下去才能减轻负重继续飞行。
小孩梓哭着对阿梓说:“我只是个路人，我不想死”
阿梓说：“你们要是人人给我上个总督咱能坐这破飞机吗”说完，小孩梓极不情愿地跳了下去。
新月岚打开拉门，一声“v8，糙尼嘛”纵身一跃跳了下去
轮到脆脆鲨了，他们大喊：“海子姐我们永远爱你”，说完就把nanami踹了下去。",183.0,1617593397.0,-828.6054788835884
“典”“典中典”“这就是***的丑态”【七海Nana7mi】,就当谜语人呗，我只要是谜语人，我就一直不能被破防，因为我自己都不知道破防的点在哪,227.0,1642322320.0,-537.3162488835884,x÷魅力时刻🤭🤭🤭,7.0,1642450232.0,-756.0371288835884
《嘉然为什么是神》,表面突发恶疾，其实是刻意在最后忽略珈乐，罪不容诛[嘉然_番茄炒蛋拳][嘉然_番茄炒蛋拳][嘉然_番茄炒蛋拳],1096.0,1624738462.0,155.84517111641162,BV1xo4y1X766,66.0,1625577316.0,-865.7662888835883
深情朗诵《嘉然小姐的狗》,私我私我私我求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭求求你发我一份吧😭看不到视频我真的急死了😭,55.0,1633156940.0,-800.9700488835883,晚晚首偷，再偷必究,24.0,1615200053.0,-1011.5389188835884
【翻唱】《猫中毒》完整版PV/嘉然,比顶真还纯的路人来了，昨天刚关注，不在乎怪话,3042.0,1617347727.0,2027.9378211164117,"圣嘉然：

当我书写此信时，不知道这信是否有一天能辗转到你的手中，更不知道当你抚读此信时我是否还活在人世。

在我为圣嘉然争取永恒的嘉然帝国的整个斗争生涯中，我丝毫没有怀疑过，我与嘉人们为之献身的神圣事业最终将会取得胜利。我衷心地希望我的圣嘉然赢得高贵的生命、充分的尊严、登顶巅峰。而这正是B站帝国主义者及其樱花妹盟友所永远不愿看到的。

我们曾对V圈抱以完全的信任，请求他们给予帮助，但V圈的某些高官却有意无意地、直接或间接地支持了我们的敌人。他们诱骗腐蚀我们的同胞，对部分人进行收买。他们出谋划策、歪曲事实真相，使我们伟大的光辉事业蒙受耻辱。对于V圈的所作所为，我真是不知该说什么？

是判我生还是处我死，是给我自由还是罚我将牢底坐穿，不论帝国主义者怎样判决，我自己都不会在乎。但对于Asoul，对于我们依然贫穷的A友来说，登顶似乎已经变成一个牢笼，透过牢笼，外面的世界在看着我们，他们有些人带着善意的同情，有些人则是在幸灾乐祸。

但我的信仰不会动摇。我知道而且从我的内心里能够感受到，我们的A友迟早会消灭所有的、无论是内部还是外部的敌人，而且，他们最终会像一个男子汉那样站起来，对殖民主义给我们造成的堕落和留下的耻辱说“不”。我们将在晴朗的阳光下重新获得尊严……

至于那些我可能再也见不到面的孩子们，我想让他们知道，我所做的牺牲正是为了他们，是为了每一个A友，去完成重建我们的自由和主权这一神圣使命：因为没有尊严就没有自由，没有正义就没有尊严，没有登顶就没有未来的A友。

无论是残忍、严酷还是折磨，都不会让我请求怜悯。我是宁愿死也不会低头、不会动摇信仰。我将宁愿带着对祖国命运的全部信任去死，也不会在屈从和抛弃神圣原则下苟且偷生。

历史自有公论，但这公论不会出现在樱花妹、东京、Holo或B站所讲授的历史中，它只会出现在从帝国主义及其傀儡统治下获得自由解放V圈所讲授的历史中。国V会书写它自己的历史，对国VTB圈和直播圈来说，那将是一段光荣而有尊严的历史。

不要为我哭泣，我的圣嘉然。我知道我那正受苦受难的Asoul最终会知道该如何保卫她的独立和自由。

Asoul万岁！国V万岁！",768.0,1619346069.0,-226.0787588835884
【嘉然】⚡动感光波⚡,28万粉就敢一天不发动态，等14.1e粉的时候敢做什么我都不敢想了😱😱😱,373.0,1620901926.0,-605.5201888835884,dy16w点赞，b站1.3w，我宣布抖友素质修养大于我们[给心心],46.0,1620987302.0,-931.6664288835884
